,tweet_text,date,hashtags,link
0,What's disrupting what? What if U deeply examined the other scenario of locusts disrupting the fight against #COVID19UG which will manifest as a larger food crisis incase the infestation period of #COVID19UG is lengthened leading to financial constraints to handle the 2 scenarios,2020-04-09 21:41:37+00:00,#COVID19UG #COVID19UG,https://twitter.com/mumyamu_ismail/status/1248365476935335948
1,Bank acct had forgotten small small then boom..... #COVID19UG,2020-04-09 21:01:34+00:00,#COVID19UG,https://twitter.com/Joshuakanyii/status/1248355396626132998
2,"And the #UGLocustControl teams in this fight are doing that. Observing the #COVID19UG prevention guidelines as provided by Government, including testing whoever enters the airport area and observing #SocialDistancing at all times.",2020-04-09 20:44:39+00:00,#UGLocustControl #COVID19UG #SocialDistancing,https://twitter.com/MAAIF_Uganda/status/1248351139281752065
3,Empty shelves are rather a result of domestic forces. @davidkabanda @Ojilong1 @MAAIF_Uganda @mtic_uganda #COVID19UG https://blogs.worldbank.org/voices/three-imperatives-keep-food-moving-time-fear-and-confusion?cid=ECR_E_NewsletterWeekly_EN_EXT via @WorldBank,2020-04-09 19:58:19+00:00,#COVID19UG,https://twitter.com/BSenfuka/status/1248339478650986498
4,No need to treat her like she's the cause of #COVID19UG #EndViolenceAgainstWomenAndGirls,2020-04-09 19:47:57+00:00,#COVID19UG #EndViolenceAgainstWomenAndGirls,https://twitter.com/FrancisOkullu/status/1248336870540554241
5,Let's first win this #ChinaVirus #COVID19UG,2020-04-09 19:30:59+00:00,#ChinaVirus #COVID19UG,https://twitter.com/briandabullet/status/1248332599803682816
6,"All 338 samples tested today, 9th April, are negative for #COVIDー19. Total number of cases in #Uganda is 53. #StayAtHome #COVID19UG #HealthyAtHome #StaySafe #StayAtHomeSaveLives #Uganda #comms4good #comms",2020-04-09 19:18:47+00:00,#COVID #Uganda #StayAtHome #StayAtHome #COVID19UG #HealthyAtHome #HealthyAtHome #StaySafe #StayAtHomeSaveLives #StayAtHomeSaveLives #Uganda #comms4good #comms,https://twitter.com/PRAU_Uganda/status/1248329532114980870
7,@MinofHealthUG hopes to discharge at least 1 person tomorrow after recovering from #COVID19UG #GoodNews,2020-04-09 19:13:06+00:00,#COVID19UG #GoodNews,https://twitter.com/MrKabugo/status/1248328098698989569
8,This guy has a point #COVID19UG cc @elioda_n @RitahKA1 Museveni been right to ban the word #boredom ,2020-04-09 19:12:39+00:00,#COVID19UG #boredom,https://twitter.com/JonanTea/status/1248327988569088000
9,"As NBS hosts noise makers, #NTVOnTheSpot has @JaneRuth_Aceng In depth discussion on #COVID19UG",2020-04-09 19:11:50+00:00,#NTVOnTheSpot #COVID19UG,https://twitter.com/MrKabugo/status/1248327781055901704
10,"Dear @MinofHealthUG thank you for the good work you are doing in fighting the #COVID19UG virus. I have 40 boxes of soap worth a ka Ugx.1,000,000 to support the national task force. Please let me know how I can deliver it. Thank you. @JaneRuth_Aceng @DianaAtwine @OPMUganda",2020-04-09 19:00:28+00:00,#COVID19UG,https://twitter.com/antonyagaba/status/1248324919169036289
11,Aluta Continua as we suppress the spread of the deadly #COVID19UG #Tonsembelela #STAYSAFEUG,2020-04-09 18:59:11+00:00,#COVID19UG #Tonsembelela #STAYSAFEUG,https://twitter.com/ikyomuhendo/status/1248324598648750083
12,"More good news for Uganda, no positive sample #COVID19UG . Isn’t God just amazing? Over 300 tests today! ",2020-04-09 18:58:41+00:00,#COVID19UG,https://twitter.com/NabaasaInnocent/status/1248324473440350213
13,#COVID19UG Update: 338 samples tested at @UVRIug turned out negative for COVID-19. Confirmed remain 53. #NTVNews,2020-04-09 18:55:25+00:00,#COVID19UG #NTVNews,https://twitter.com/MwesigyeWalter/status/1248323648378810368
14,Lets flatten the curve! Alhamdulillah... #COVID19UG #STAYSAFEUG,2020-04-09 18:52:20+00:00,#COVID19UG #STAYSAFEUG,https://twitter.com/ShakiraNiyonku2/status/1248322871983734789
15,"Dear @husmwo @tru_sseggujja ,You are the only Ugandans who can challenge Daddy @KagutaMuseveni Please do it quickly,Your back should be straight ate temukikinaza kabina nyo #COVID19UG #Museveni challenge",2020-04-09 18:36:02+00:00,#COVID19UG #Museveni,https://twitter.com/iam_matovu/status/1248318771179196416
16,This nation has never been defeated when we’re together.& we’re not going to be defeated now by #COVIDー19.#COVID19UG especially under the leadership of @KagutaMuseveni @MinofHealthUG @DianaAtwine @JaneRuth_Aceng @StateHouseUg and the general public.@EstherBirungi4 @esther_aoko,2020-04-09 18:18:09+00:00,#COVID #COVID19UG,https://twitter.com/sebintu/status/1248314271894843392
17,"Anne Juuko, Chief Executive @stanbicug said, “Our humble contribution is the ultimate expression of our national responsibility and commitment to Uganda’s growth.” #StaySafeUG #COVID19UG",2020-04-09 18:09:12+00:00,#StaySafeUG #COVID19UG,https://twitter.com/stanbicug/status/1248312020912541697
18,"#KeepinhUpWithM7 His Excellence YK #Museveni, shortcomings not withstanding, is a legend in his own league. His #FitnessChallenge #WorkoutChallenge is already on premiering on #BBCWorldNews #BBCFocusOnAfrica I hope the fight vs #COVID19UG #COVIDー19 won't be side tracked.",2020-04-09 18:00:23+00:00,#KeepinhUpWithM7 #Museveni #FitnessChallenge #WorkoutChallenge #BBCWorldNews #BBCFocusOnAfrica #COVID19UG #COVID,https://twitter.com/NansinguzaJ/status/1248309800913588230
19,This is so good. #StaySafeStayHome #STAYSAFEUG #COVID19UG ,2020-04-09 17:41:23+00:00,#StaySafeStayHome #STAYSAFEUG #COVID19UG,https://twitter.com/smoothvia/status/1248305020749127682
20,"If we come together as Ugandans, Africans, we will defeat #COVID19UG #COVIDー19, when we do that, we will not only do the hard work of rebuilding this African Continent, we will transform it.@UNYouthEnvoy @YALIRLCEA @SenFeinstein @DianaAtwine @KagutaMuseveni @JaneRuth_Aceng",2020-04-09 17:31:52+00:00,#COVID19UG #COVID,https://twitter.com/sebintu/status/1248302622941085699
21,"#KeepingUpWithM7 The #M7WorkoutChallenge has a winner and this none other than #MCKapale of @ComedyStoreUG. I saw among #MuhammadNsereko @mbabazi_l among other challenge participants. One thing is for sure, the #COVID19UG optimised press up is only half of the real press up.",2020-04-09 17:09:42+00:00,#KeepingUpWithM7 #M7WorkoutChallenge #MCKapale #MuhammadNsereko #COVID19UG,https://twitter.com/NansinguzaJ/status/1248297044562903047
22,"If this thread is the truth, it can be authoritatively put that #corruption is overrunning the fight against #CoronaVirus in #Uganda. #COVID19UG National taskforce seems to be deeply compromised already &amp; claims about poor quality of relief food, weren't entirely unfounded. https://twitter.com/PyeparFaisal/status/1247739191103877120",2020-04-09 16:46:55+00:00,#corruption #CoronaVirus #Uganda #COVID19UG,https://twitter.com/NansinguzaJ/status/1248291312924798979
23,Imagine getting rid of Covid-19 and then China releases Covid-19 S PLUS #COVIDー19 #COVID19UG #RutoSmokedOut #SingleGuysChallenge #coronavirus #covid19kenya #bankholiday #COVID19andNGOs #Covid19India #COVIDIDIOTS #COVID19indonesia #CoronaStopKaroNa #CoronavirusUSA,2020-04-09 16:42:29+00:00,#COVID #COVID19UG #RutoSmokedOut #SingleGuysChallenge #coronavirus #covid19kenya #bankholiday #COVID19andNGOs #Covid19India #COVIDIDIOTS #COVID19indonesia #CoronaStopKaroNa #CoronavirusUSA,https://twitter.com/Dijay_chris/status/1248290197026078720
24,"All along, I thought #Aponye was a pre-qualifed &amp; that #OPM procured the lot in the best interest of the country &amp; adhered to best practices of procurement SOPs. If the above thread's true, #corruption has overrun #COVID19UG National Taskforce But why arrest the incorruptible?",2020-04-09 16:35:55+00:00,#Aponye #OPM #corruption #COVID19UG,https://twitter.com/NansinguzaJ/status/1248288543266439169
25,"#KeepingUpWithM7 As he had promised yestersy in his #M7Address, the president released the #WorkoutVideo from indoor settings. No treadmill, no weights for lifting...typical improvisation. #StaySafe &amp; #Workout from your home with press ups tailor made for #COVID19UG #Lockdown",2020-04-09 16:17:38+00:00,#KeepingUpWithM7 #M7Address #WorkoutVideo #StaySafe #Workout #COVID19UG #Lockdown,https://twitter.com/NansinguzaJ/status/1248283943478198272
26,"When he decided to start with prayers, I knew #COVID19UG was defeated. HE @KagutaMuseveni has been successful in all his battles start with the liberation struggle coz he’s blessed with talent to mobilize. His humble,loving,humorous personality attracts many to follow his advice.",2020-04-09 15:59:33+00:00,#COVID19UG,https://twitter.com/AsantejnrRuhima/status/1248279390854754305
27,Leaders call for action to protect children from violence and abuse during #COVID19. Read their full statement here: https://www.end-violence.org/articles/leaders-call-action-protect-children-violence-and-abuse-during-covid-19 #COVID19UG #STAYSAFEUG #ENDViolence,2020-04-09 15:58:10+00:00,#COVID19 #COVID19UG #STAYSAFEUG #ENDViolence,https://twitter.com/UNICEFUganda/status/1248279045252493313
28,Leaders call for action to protect children from violence and abuse during #COVID19. Read their full statement here: https://www.end-violence.org/articles/leaders-call-action-protect-children-violence-and-abuse-during-covid-19 #COVID19UG #STAYSAFEUG #ENDViolence,2020-04-09 15:57:51+00:00,#COVID19 #COVID19UG #STAYSAFEUG #ENDViolence,https://twitter.com/UNICEFUganda/status/1248278961651699712
29,It’s a healthy measure to stay home and stay safe While your staying home you can have yourself a healthy breakfast on your table every morning during this #COVID19UG #ExpressHomeDelivery is here to serve you better,2020-04-09 15:55:58+00:00,#COVID19UG #ExpressHomeDelivery,https://twitter.com/PrinceRaymondHD/status/1248278490211856384
30,I want some sex so good I roll over & drink the water out the iron #RutoSideshow #WeStandWithKenyans #WeStandWithKenyans #COVID19UG #RutoSmokedOut #Uganda #cyrilramaphosa #SingleGuysChallenge #فيروس_كورونا #bankholiday #ThursdayMotivation #login,2020-04-09 15:55:00+00:00,#RutoSideshow #WeStandWithKenyans #WeStandWithKenyans #COVID19UG #RutoSmokedOut #Uganda #cyrilramaphosa #SingleGuysChallenge #bankholiday #ThursdayMotivation #login,https://twitter.com/Dijay_chris/status/1248278248234024960
31,Download the storybook here: https://www.unicef.org/press-releases/childrens-story-book-released-help-children-and-young-people-cope-covid-19 #COVID19UG #STAYSAFEUG,2020-04-09 14:52:03+00:00,#COVID19UG #STAYSAFEUG,https://twitter.com/UNICEFUganda/status/1248262403852308481
32,"'My Hero is You', aims to help children understand and come to terms with COVID-19, and was produced by a collaboration of more than 50 organizations working in the humanitarian sector, including the @WHO, @UNICEF, @Refugees, @ifrc &amp; @SavetheChildren #COVID19UG #StaySafeUG",2020-04-09 14:50:44+00:00,#COVID19UG #StaySafeUG,https://twitter.com/UNICEFUganda/status/1248262071302709248
33,"NEW STORY BOOK: “My Hero is You, How kids can fight COVID-19!” explains how children can protect themselves, their families and friends from #coronavirus and how to manage in a new &amp; rapidly changing reality. Download it here: https://www.unicef.org/press-releases/childrens-story-book-released-help-children-and-young-people-cope-covid-19 #COVID19UG #StaySafeUG",2020-04-09 14:50:43+00:00,#coronavirus #COVID19UG #StaySafeUG,https://twitter.com/UNICEFUganda/status/1248262068215713792
34,"Preaching the gospel of fitness amidst #COVID19UG lockdown challenges, Pres @KagutaMuseveni releases exercise video @KazibweKennyk19 reports. As a guerrilla leader (1971-86) he said he often did exercises in cramped hotel rooms",2020-04-09 14:32:28+00:00,#COVID19UG,https://twitter.com/DavidTumusiime/status/1248257474563629056
35,President of Uganda (@KagutaMuseveni) challenges Ugandans to workout from home. #STAYSAFEUG #COVID19UG #M7Address,2020-04-09 14:07:12+00:00,#STAYSAFEUG #COVID19UG #M7Address,https://twitter.com/Phathahofficial/status/1248251116237750273
36,There you go...Guys wanted a video. Await for challenges now on social media #COVID19UG #STAYSAFEUG,2020-04-09 14:04:36+00:00,#COVID19UG #STAYSAFEUG,https://twitter.com/IvanPinno/status/1248250464245694464
37,President #Museveni Exercises Indoors in Stay At Home Campaign Against Covid-19 https://www.softpower.ug/museveni-exercises-indoors-in-stay-at-home-campaign-against-covid-19/ via @SoftPowerNews #HealthyAtHome #COVIDー19 #COVID19UG #StayAtHome #PR #comms #Uganda #comms4good,2020-04-09 13:58:48+00:00,#Museveni #HealthyAtHome #HealthyAtHome #COVID #COVID19UG #StayAtHome #StayAtHome #PR #comms #Uganda #comms4good,https://twitter.com/PRAU_Uganda/status/1248249005194104839
38,A reminder of what we are missing during the #COVID19UG lockdown and what we will recover if we #StaySafeStayHome in 2020 #Uganda #Beauty #life,2020-04-09 13:56:32+00:00,#COVID19UG #StaySafeStayHome #Uganda #Beauty #life,https://twitter.com/DavidTumusiime/status/1248248434139598848
39,It's a holy Thursday and #COVID19 cannot stop us from celebrating even now that we're away for m each other. #COVID19UG #StaysafeUG #BuildingTomorrowTogether,2020-04-09 13:55:45+00:00,#COVID19 #COVID19UG #StaysafeUG #BuildingTomorrowTogether,https://twitter.com/FINCA_Uganda/status/1248248236168511488
40,"OPM officials arrested for inflating relief food prices causing Shs 4bn loss. They allegedly inflated the prices by Shs 500 per kg of maize flour (9,030,000kgs) and beans (635,000kgs) https://www.observer.ug/news/headlines/64196-opm-officials-arrested-for-inflating-relief-food-prices #corruption #COVID19 #COVID19UG #Uganda",2020-04-09 13:55:43+00:00,#corruption #COVID19 #COVID19UG #Uganda,https://twitter.com/observerug/status/1248248227217813505
41,There you go: https://twitter.com/ntvuganda/status/1248244836911775744?s=09 #keepingUpWithTheKagutas #lockdown #COVID19UG,2020-04-09 13:48:10+00:00,#keepingUpWithTheKagutas #lockdown #COVID19UG,https://twitter.com/agabadave/status/1248246327281995776
42,Does #chururu soup make more sense now? #COVID19UG,2020-04-09 13:38:13+00:00,#chururu #COVID19UG,https://twitter.com/kydiaoliv/status/1248243824167489537
